 # texting interjections
 <uhuh ~no
 <unbelievable> ~no
 <undoubtedly ~yes
 <unfortunately_not> ~no
 <unlikely> ~no
 <unquestionably ~yes
 <until_next_time ~emogoodbye
 <very_well ~yes
 <very_well_indeed ~yes
 <wait_a_minute ~emoprotest
 <we_can_try> ~yes
 <we_did> ~yes
 <we_should_try> ~yes
 <welcome ~emohello
 <well_I_never ~emosurprise
 <well_maybe_you_are_right ~yes
 <well_perhaps_you_are_right ~yes
 <whaa ~emomisunderstand
 <whaa> ~emomisunderstand
 <what'up ~emohowzit
 <what_a_disaster ~emosad
 <what_a_mess ~emosad
 <what_a_pity ~emosad
 <what_a_surprise ~emosurprise
 <what_a_terrible_shame ~emosad
 <what_did_you_say ~emomisunderstand
 <what_do_you_mean ~emomisunderstand
 <what_is_going_on> ~emohowzit
 <what_is_happening> ~emohowzit
 <what_is_new> ~emohowzit
 <what_is_the_latest_word> ~emohowzit
 <what_is_the_word> ~emohowzit
 <what_is_up ~emohowzit
 <what_is_up_today ~emohowzit
 <what_the_fuck ~emosurprise
 <what_up ~emohowzit
 <what_was_that_you_said ~emomisunderstand
 <what_was_that> ~emomisunderstand
 <whatever_do_you_mean ~emomisunderstand
 <whatever> ~yes # special for now...
 <whoopie ~emohappy
 <why_thank_you ~emothanks
 <will_do> ~yes
 <with_pleasure ~yes
 <without_a_doubt ~yes
 <wonder_if_the_surf_'s_up ~emobored
 <wonderful> ~yes
 <wow ~emosurprise
 <wow_! ~emosurprise
 <yah ~yes
 <yahoo> ~emohappy
 <yawn ~emobored
 <yay ~yes
 <yea ~yes
 <yeah ~yes
 <yeah_definitely ~yes
 <yeah_sure ~yes
 <yeah_yeah ~no
 <yech ~emodisgust
 <yeh ~yes
 <yeow ~emopain
 <yep ~yes
 <yeppers ~yes
 <yes ~yes
 <yes_please ~yes
 <yes_really ~yes
 <yikes ~emosurprise
 <yip ~yes
 <yipe ~emosurprise
 <yipes ~emosurprise
 <yippy ~emohappy
 <you_all_come_back_now ~emogoodbye
 <you_are_dead_wrong ~no
 <you_are_having_me_on ~no
 <you_are_joking ~no
 <you_are_kidding ~no
 <you_are_not_serious ~no
 <you_are_right ~yes
 <you_are_winding_me_up ~no
 <you_bet> ~yes
 <you_can_not_be_serious ~no
 <you_could_say_that> ~yes
 <you_expect_me_to_know> ~emoignorance
 <you_have_got_that_wrong ~no
 <you_have_got_to_be_kidding ~no
 <you_may ~yes
 <you_may_be_right ~yes
 <you_may_have_a_point ~yes
 <you_must_be_joking ~no
 <you_must_be_kidding ~no
 <yowzit ~emohappy
 <yuch ~emodisgust
 <yuck ~emodisgust
 <yuk> ~emodisgust
 <yup ~yes
 <yuppers ~yes
 a_minute_ago_you_said ~emoprotest
 also> ~emomutual
 <bring_it_on> ~yes
 byebye ~emogoodbye
 ca_va ~emohowzit
 call_it_a_night ~emogoodbye
 comment_ca_va ~emohowzit
 comment_est_vous ~emohowzit
 d'accord ~yes
 g'bye ~emogoodbye
 good_bye ~emogoodbye
 goodbye ~emogoodbye
 grr ~emoangry
 grrr ~emoangry
 grrrr ~emoangry
 ha_ha ~emolaugh
 ha_ha_ha ~emolaugh
 haha ~emolaugh
 hahah ~emolaugh
 hahaha ~emolaugh
 hahahah ~emolaugh
 hahahaha ~emolaugh
 hahahahah ~emolaugh
 hahahahaha ~emolaugh
 hahahahahah ~emolaugh
 hahahahahaha ~emolaugh
 hahahahahahah ~emolaugh
 hahahahahahaha ~emolaugh
 hahahahahahahah ~emolaugh
 hahahahahahahaha ~emolaugh
 hahahahahahahahah ~emolaugh
 hahahahahahahahaha ~emolaugh
 hahahahahahahahahah ~emolaugh
 hahahahahahahahahaha ~emolaugh
 hahahahahahahahahahah ~emolaugh
 hahahahahahahahahahaha ~emolaugh
 hahahahahahahahahahahah ~emolaugh
 hahahahahahahahahahahaha ~emolaugh
 hahahahahahahahahahahahah ~emolaugh
 hahahahahahahahahahahahaha ~emolaugh
 hahahahahahahahahahahahahah ~emolaugh
 hahahahahahahahahahahahahaha ~emolaugh
 hahahahahahahahahahahahahahah ~emolaugh
 hahahahahahahahahahahahahahaha ~emolaugh
 <he_does_not> ~no
 <he_does> ~yes
 <he_is_not> ~no
 <he_is> ~yes
 howzit ~emohowzit
 I_will_be_back ~emogoodbye
 I_would_say_so ~yes
 <it_does_not> ~no
 <it_does> ~yes
 <it_is_not> ~no
 <it_is> ~yes
 okay ~yes
 okey ~yes
 right-o ~yes
 see_you_later ~emogoodbye
 <she_does_not> ~no
 <she_does> ~yes
 <she_is_not> ~no
 <she_is> ~yes
 <they_are_not> ~no
 <they_are> ~yes
 <they_do_not> ~no
 <they_do> ~yes
 through_for_now ~emogoodbye
 through_with_you_for_now ~emogoodbye
 touche ~yes
 wassup ~emohowzit
 watsup ~emohowzit
 <we_do_not> ~no
 <we_do> ~yes
 whatcha_upto ~emohowzit
 whazzupp ~emohowzit
 within_the_realm_of_possiblity ~emomaybe
 you_just_said ~emoprotest
 you_said ~emoprotest
